room_type,segment,area_m2,ceiling_h,budget,required_lux,total_lumens,fixtures_count,fixture_type,fixture_lm,purpose,country,model_name,price_rub,norm_ref
Выставочный зал,administrative,673,11.8,348390,502,486498,145,Подвесной,3339,Выставочный зал,США,OptiLight BE18101,2387,СП 52.13330.2016
Парковка,outdoor,1977,0.0,146010,51,100827,8,Прожектор,11435,Парковка,Франция,StreetLine AB17479,12578,СП 52.13330.2016
Больница (палата),administrative,15,5.9,1537,186,3194,2,Настенный линейный,1169,Больница (палата),Тайвань,ProLED HV8360,578,СП 52.13330.2016
Гостиная,domestic,31,2.9,1596,192,5952,1,Подвесной,3029,Гостиная,Тайвань,ЭРА BF5296,1575,СП 52.13330.2016
Жилое помещение,domestic,13,2.9,656,198,2574,2,Настенный (бра),895,Жилое помещение,Корея,HomeLight HA3443,268,СанПиН 2.2.1
Цех (ресторан/столовая),administrative,134,9.8,84762,271,48660,3,Промышленный (High-bay),15894,Цех (ресторан/столовая),Германия,ПроСвет JN9174,19867,СП 52.13330.2016
Сцена театра,administrative,238,9.6,303636,1061,335848,93,Подвесной,3578,Сцена театра,Корея,OptiLight IS7534,2558,СНиП 23-05-95
Парковка,outdoor,466,0.0,31333,48,22368,2,Консольный,10096,Парковка,Россия,Андромеда ZY12451,14437,СП 52.13330.2016
Производственные (точные работы),industrial,270,8.9,121349,455,159090,50,Встраиваемый,3125,Производственные (точные работы),Россия,Феникс XP17909,2250,СП 52.13330.2016
Санузел,domestic,8,2.7,1922,49,392,1,Потолочный,3199,Санузел,Турция,LumenPro FV9418,1759,СП 52.13330.2016
Стадион,outdoor,9115,0.0,3444331,203,1850345,183,Консольный,10094,Стадион,Турция,Андромеда CU13811,14434,СНиП 23-05-95
Коридор (общественный),outdoor,36,0.0,832,69,2484,1,Настенный линейный,1398,Коридор (общественный),Тайвань,SafeExit XK3408,754,СП 52.13330.2016
Торговый зал,industrial,21,11.3,23157,744,22107,9,Встраиваемый,2215,Торговый зал,Китай,Philips EJ9867,1993,СНиП 23-05-95
Фойе театра/кинотеатра,administrative,200,9.2,37351,157,41134,11,Подвесной,3587,Фойе театра/кинотеатра,Корея,ProLED SZ18688,2564,СП 52.13330.2016
Конференц-зал,administrative,66,12.5,27152,371,36116,11,Потолочный,3267,Конференц-зал,Китай,Юпитер JU13456,2123,СП 52.13330.2016
Коридор (жилой),domestic,25,2.8,529,27,675,1,Настенный линейный,1003,Коридор (жилой),Германия,BrightLine UB11980,496,СП 52.13330.2016
Обеденный зал (ресторан/столовая),administrative,90,11.8,18292,192,24883,7,Подвесной,3257,Обеденный зал (ресторан/столовая),Корея,ProLED QY6759,2328,СНиП 23-05-95
Концертный зал,administrative,899,11.0,321115,310,390166,106,Подвесной,3677,Концертный зал,Корея,OptiLight YJ2617,2629,СНиП 23-05-95
Парковка,outdoor,1866,0.0,129735,46,85836,10,Консольный,8486,Парковка,Италия,Андромеда GI15446,12134,СП 52.13330.2016
Выставочный зал,administrative,805,3.3,530944,510,416708,22,Прожектор,18377,Выставочный зал,Италия,ProLED IT13187,20214,СП 52.13330.2016
Выставочный зал,administrative,634,5.7,473722,534,384261,33,Прожектор,11527,Выставочный зал,Турция,ПроСвет BY19698,11527,СП 52.13330.2016
Школа (класс),administrative,63,7.8,28400,412,32185,9,Встраиваемый,3249,Школа (класс),Китай,ZetaLED UJ18349,2339,СП 52.13330.2016
Фойе театра/кинотеатра,administrative,116,3.4,14556,153,18102,5,Подвесной,3143,Фойе театра/кинотеатра,Турция,OptiLight XO4949,2247,СП 52.13330.2016
Музейный зал,administrative,374,7.0,139339,429,192535,73,Встраиваемый,2619,Музейный зал,Тайвань,ProLED LW8113,1728,СП 52.13330.2016
Производственные (точные работы),industrial,219,7.9,258859,479,130601,6,Промышленный (High-bay),19891,Производственные (точные работы),Франция,Феникс UZ14799,29836,СП 52.13330.2016
Конференц-зал,administrative,60,3.6,18527,376,23236,6,Подвесной,3826,Конференц-зал,США,ProLED QO12788,2735,СП 52.13330.2016
Балкон/лоджия,domestic,10,2.8,4142,102,1020,1,Пылевлагозащищённый (IP65),3846,Балкон/лоджия,Корея,EcoLight ZT5945,3115,СП 52.13330.2016
Холодильный склад,industrial,99,8.3,20396,138,17282,6,Пылевлагозащищённый (IP65),2657,Холодильный склад,Франция,Феникс MI8203,2869,СП 52.13330.2016
Улица,outdoor,795,0.0,95177,90,71550,13,Парковый фонарь,5221,Улица,Китай,Андромеда ZT16596,5769,СП 52.13330.2016
Кухня,domestic,18,3.0,1973,214,3852,1,Встраиваемый,3237,Кухня,Китай,EcoLight MH19131,1747,СП 52.13330.2016
Больница (палата),administrative,12,2.8,937,181,2172,1,Настенный линейный,1783,Больница (палата),Китай,ПроСвет GN7887,802,СП 52.13330.2016
Стадион,outdoor,19867,0.0,5041042,214,4251538,450,Консольный,9443,Стадион,Китай,MarketLED QW12486,10387,СНиП 23-05-95
Улица,outdoor,485,0.0,52720,105,50925,4,Консольный,11584,Улица,Турция,MarketLED OL18059,12742,СП 52.13330.2016
Сад/парк,outdoor,3560,0.0,119634,28,99680,13,Парковый фонарь,7182,Сад/парк,Корея,Андромеда NC8481,7936,СП 52.13330.2016
Фойе театра/кинотеатра,administrative,140,9.9,17044,150,28245,8,Потолочный,3230,Фойе театра/кинотеатра,Германия,Юпитер GY7209,2099,СП 52.13330.2016
Производственные (общее),industrial,748,9.3,389830,261,256724,10,Промышленный (High-bay),24605,Производственные (общее),Италия,Феникс DR10177,36907,СП 52.13330.2016
Кафе,administrative,86,9.6,22864,270,30882,10,Потолочный,3027,Кафе,Китай,MaxLight BQ19100,1816,СП 52.13330.2016
Производственные (грубые работы),industrial,653,9.7,208042,171,149070,7,Прожектор,19397,Производственные (грубые работы),США,Феникс BQ16795,23276,СП 52.13330.2016
Цех деревообработки,industrial,198,7.5,98767,326,79071,7,Прожектор,10756,Цех деревообработки,Россия,TechnoLight WF8992,13982,СП 52.13330.2016
Производственные (общее),industrial,531,11.6,392923,265,201222,8,Промышленный (High-bay),22969,Производственные (общее),Китай,TechnoLight CL12814,37324,СП 52.13330.2016
Холодильный склад,industrial,257,10.4,79500,157,55278,16,Пылевлагозащищённый (IP65),3324,Холодильный склад,Корея,LuxPro ZU8418,3889,СП 52.13330.2016
Лестничная клетка,outdoor,25,0.0,881,37,925,1,Настенный линейный,1490,Лестничная клетка,Германия,SafeExit ZA14116,804,СП 52.13330.2016
Зал театра,administrative,251,9.5,39049,186,61858,42,Настенный линейный,1460,Зал театра,Турция,ПроСвет NJ7071,657,СНиП 23-05-95
Офис,administrative,25,6.0,9208,516,14834,4,Потолочный,3362,Офис,Тайвань,OptiLight HO15018,1849,СП 52.13330.2016
Больница (палата),administrative,14,8.7,1282,200,3598,2,Настенный линейный,1239,Больница (палата),Италия,ПроСвет XB699,557,СП 52.13330.2016
Коридор (общественный),outdoor,29,0.0,1070,68,1972,1,Настенный линейный,1591,Коридор (общественный),Италия,StreetLine ND12964,787,СП 52.13330.2016
Зал кинотеатра,administrative,462,10.0,14360,46,28690,14,Настенный линейный,1969,Зал кинотеатра,Тайвань,ПроСвет PA8647,886,СНиП 23-05-95
Балкон/лоджия,domestic,6,2.5,676,98,588,1,Настенный линейный,1355,Балкон/лоджия,Россия,ЭРА FA3572,487,СП 52.13330.2016
Стадион,outdoor,19762,0.0,4906772,183,3616446,202,Прожектор,17833,Стадион,Корея,MarketLED LZ8449,17833,СНиП 23-05-95
Обеденный зал (ресторан/столовая),administrative,149,10.6,40649,215,44208,14,Подвесной,3099,Обеденный зал (ресторан/столовая),США,MaxLight SY4076,2417,СНиП 23-05-95
Торговый зал,industrial,141,12.0,143608,715,146181,38,Подвесной,3824,Торговый зал,Китай,Феникс PK15199,2982,СНиП 23-05-95
Торговый зал,industrial,194,8.5,187629,719,177844,77,Встраиваемый,2303,Торговый зал,Россия,LuxPro GW17362,1796,СНиП 23-05-95
Сцена театра,administrative,237,9.4,499088,1030,322225,19,Прожектор,16639,Сцена театра,Италия,ProLED FS7112,18302,СНиП 23-05-95
Школа (класс),administrative,62,4.0,16054,430,27993,9,Потолочный,3080,Школа (класс),Китай,ПроСвет XO4833,1540,СП 52.13330.2016
Фойе театра/кинотеатра,administrative,92,7.6,10860,158,17879,6,Потолочный,2760,Фойе театра/кинотеатра,Германия,ПроСвет VC920,1380,СП 52.13330.2016
Фойе театра/кинотеатра,administrative,81,4.7,12480,156,13710,3,Подвесной,3806,Фойе театра/кинотеатра,Россия,MaxLight KP1881,2968,СП 52.13330.2016
Балкон/лоджия,domestic,9,2.5,873,101,909,1,Настенный линейный,1272,Балкон/лоджия,Россия,LumenPro DW14287,629,СП 52.13330.2016
Производственные (грубые работы),industrial,637,6.3,388332,186,138031,11,Взрывозащищённый,12527,Производственные (грубые работы),Франция,Philips FS11609,28185,СП 52.13330.2016
Больница (палата),administrative,15,5.2,2659,206,3429,1,Потолочный,3276,Больница (палата),Италия,OptiLight SE7665,1801,СП 52.13330.2016
Школа (класс),administrative,37,10.9,17651,419,21626,8,Встраиваемый,2414,Школа (класс),США,MaxLight JS084,1738,СП 52.13330.2016
Балкон/лоджия,domestic,7,2.5,3648,99,693,1,Пылевлагозащищённый (IP65),4775,Балкон/лоджия,Франция,ЭРА FN3358,3438,СП 52.13330.2016
Торговый зал,industrial,44,9.8,50314,711,41920,13,Подвесной,3032,Торговый зал,Франция,Osram XY661,2759,СНиП 23-05-95
Школа (класс),administrative,64,4.0,16377,389,26140,8,Потолочный,3166,Школа (класс),Россия,ZetaLED LR12506,1899,СП 52.13330.2016
Парковка,outdoor,781,0.0,51373,48,37488,4,Консольный,8451,Парковка,Германия,StreetLine RU14951,10225,СП 52.13330.2016
Концертный зал,administrative,469,3.2,159906,306,144949,7,Прожектор,18318,Концертный зал,Франция,OptiLight IM9319,20149,СНиП 23-05-95
